Plant_Code	Vendor_Code	Vendor_Name	Vendor_Address	Active_Status
1150	129610	EXCELLENT AUTOMATION	CHENNAI, TAMILNADU	TRUE
1150	129620	HEALTHY LIFE ENTERPRISES	VELLORE, TAMIL NADU	TRUE
1150	129622	VIKMAN STEEL BALL INDUSTRIES	MUMBAI,MAHARASHTRA	TRUE
1200	129622	VIKMAN STEEL BALL INDUSTRIES	MUMBAI,MAHARASHTRA	TRUE
1250	129622	VIKMAN STEEL BALL INDUSTRIES	MUMBAI,MAHARASHTRA	TRUE
1300	129624	YAFE2 ENGINEERING PRODUCTS	NAMAKKAL, TAMIL NADU	TRUE
1300	129625	THE PRIDE LUBRICANTS	COIMBATORE, TAMIL NADU	TRUE
1210	129633	AVIHS TECHNOLOGIES	BESANT NAGAR, CHENNAI	TRUE
1200	129633	AVIHS TECHNOLOGIES	BESANT NAGAR, CHENNAI	TRUE
1300	129649	DAAS FAÇADE	CHENNAI, TAMILNADU	TRUE
1250	129657	RVB SHORLUBE INDUSTRY PRIVATE	KANPUR DEHAT, UTTAR PRADESH	TRUE
1200	129657	RVB SHORLUBE INDUSTRY PRIVATE	KANPUR DEHAT, UTTAR PRADESH	TRUE
1150	129657	RVB SHORLUBE INDUSTRY PRIVATE	KANPUR DEHAT, UTTAR PRADESH	TRUE
1300	129657	RVB SHORLUBE INDUSTRY PRIVATE	KANPUR DEHAT, UTTAR PRADESH	TRUE
1300	129658	MULTIVERSAL AUTOMATION (INDIA)	CHENNAI, TAMILNADU	TRUE
1300	129659	G.K.M.INDUCTION	CHENNAI, TAMILNADU	TRUE
1150	129659	G.K.M.INDUCTION	CHENNAI, TAMILNADU	TRUE
1150	129662	Y NET COMMUNICATION	KANCHIPURAM, TAMILNADU	TRUE
1150	129718	RIGHTWAYS AIR LOGISTICS	MAHARASHTRA	TRUE
1300	129718	RIGHTWAYS AIR LOGISTICS	MAHARASHTRA	TRUE
1300	129734	AKS ANUSUYA ALUMINIUM HARDWARE	THIRUBUVANAI, PUDUCHERRY	TRUE
1300	129735	VARUN CHEMICALS	MADAGADIPET, PUDUCHERRY	TRUE
1300	129736	BLUE STAR LIMITED	MUTHIALPET	TRUE
1250	129737	SHREE KRISHNA LOGISTICS COMPANY	LUDHIANA, PUNJAB	TRUE
1250	129738	APNA DAWAI GHAR (A MEDICAL STORE)	RUDRAPUR, UTTARAKHAND	TRUE
1150	129747	CURTISS WRIGHT SURFACE TECHNOLOGIES	BANGALORE, KARNATAKA	TRUE
1300	129752	MINOSHA INDIA LIMITED	AHMEDABAD, GUJARAT	TRUE
1300	129753	MINOSHA INDIA LIMITED	SHAHABAD MOHAMMADPUR, NEW DELHI	TRUE
1250	129770	SERVICE MASTER CLEAN LIMITED	DEHRADUN,UTTARAKHAND	TRUE
1300	129771	HARSHVIJAY EXIM OPC PRIVATE LIMITED	AHMEDABAD, GUJARAT	TRUE
1300	129772	METTLER TOLEDO INDIA PVT LTD	MUMBAI, MAHARASHTRA	TRUE
